line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
1,ΑΝΩ ΙΛΙΣΙΑ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),ANO ILISIA - AKADIMIA ,220,,59,,,,,,,,,1900-01-01 05:40:00,,1900-01-01 05:00:00,,1906
1,ΑΝΩ ΙΛΙΣΙΑ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),ANO ILISIA - AKADIMIA ,220,,59,,,,,,,,,1900-01-01 06:00:00,,1900-01-01 05:20:00,,1907
1,ΑΝΩ ΙΛΙΣΙΑ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),ANO ILISIA - AKADIMIA ,220,,59,,,,,,,,,1900-01-01 06:40:00,,1900-01-01 06:00:00,,1907
1,ΑΝΩ ΙΛΙΣΙΑ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),ANO ILISIA - AKADIMIA ,220,,59,,,,,,,,,1900-01-01 06:55:00,,1900-01-01 06:15:00,,1908
1,ΑΝΩ ΙΛΙΣΙΑ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),ANO ILISIA - AKADIMIA ,220,,59,,,,,,,,,1900-01-01 07:40:00,,1900-01-01 07:00:00,,1908
1,ΑΝΩ ΙΛΙΣΙΑ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),ANO ILISIA - AKADIMIA ,220,,59,,,,,,,,,1900-01-01 07:55:00,,1900-01-01 07:15:00,,1906
1,ΑΝΩ ΙΛΙΣΙΑ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),ANO ILISIA - AKADIMIA ,220,,59,,,,,,,,,1900-01-01 08:30:00,,1900-01-01 07:45:00,,1908
1,ΑΝΩ ΙΛΙΣΙΑ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),ANO ILISIA - AKADIMIA ,220,,59,,,,,,,,,1900-01-01 08:45:00,,1900-01-01 08:00:00,,1906
1,ΑΝΩ ΙΛΙΣΙΑ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),ANO ILISIA - AKADIMIA ,220,,59,,,,,,,,,1900-01-01 09:10:00,,1900-01-01 08:25:00,,1909
1,ΑΝΩ ΙΛΙΣΙΑ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),ANO ILISIA - AKADIMIA ,220,,59,,,,,,,,,1900-01-01 09:19:00,,1900-01-01 08:35:00,,1908
1,ΑΝΩ ΙΛΙΣΙΑ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),ANO ILISIA - AKADIMIA ,220,,59,,,,,,,,,1900-01-01 09:55:00,,1900-01-01 09:10:00,,1909
1,ΑΝΩ ΙΛΙΣΙΑ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),ANO ILISIA - AKADIMIA ,220,,59,,,,,,,,,1900-01-01 10:24:00,,1900-01-01 09:40:00,,1908
1,ΑΝΩ ΙΛΙΣΙΑ - ΑΚΑΔΗΜΙΑ (ΚΥΚΛΙΚΗ),ANO ILISIA - AKADIMIA ,220,,59,,,,,,,,,1900-01-01 10:50:00,,1900-01-01 10:05:00,,1909
