line_circle,line_descr,line_descr_eng,line_id,remarks,sdc_code,sdd_aa,sdd_code,sdd_kp1,sdd_kp2,sdd_line1,sdd_line2,sdd_sort,sdd_start1,sde_end1,sde_end2,sde_start1,sde_start2,sds_code
1,ΑΚΑΔΗΜΙΑ - ΛΥΚΑΒΗΤΤΟΣ (ΚΥΚΛΙΚΗ),AKADIMIA - LYKAVITTOS,060,,60,,,,,,,,,1900-01-01 07:45:00,,1900-01-01 07:10:00,,3447
1,ΑΚΑΔΗΜΙΑ - ΛΥΚΑΒΗΤΤΟΣ (ΚΥΚΛΙΚΗ),AKADIMIA - LYKAVITTOS,060,,60,,,,,,,,,1900-01-01 08:20:00,,1900-01-01 07:45:00,,3447
1,ΑΚΑΔΗΜΙΑ - ΛΥΚΑΒΗΤΤΟΣ (ΚΥΚΛΙΚΗ),AKADIMIA - LYKAVITTOS,060,,60,,,,,,,,,1900-01-01 08:55:00,,1900-01-01 08:20:00,,3447
1,ΑΚΑΔΗΜΙΑ - ΛΥΚΑΒΗΤΤΟΣ (ΚΥΚΛΙΚΗ),AKADIMIA - LYKAVITTOS,060,,60,,,,,,,,,1900-01-01 09:50:00,,1900-01-01 09:15:00,,3447
1,ΑΚΑΔΗΜΙΑ - ΛΥΚΑΒΗΤΤΟΣ (ΚΥΚΛΙΚΗ),AKADIMIA - LYKAVITTOS,060,,60,,,,,,,,,1900-01-01 10:27:00,,1900-01-01 09:50:00,,3447
1,ΑΚΑΔΗΜΙΑ - ΛΥΚΑΒΗΤΤΟΣ (ΚΥΚΛΙΚΗ),AKADIMIA - LYKAVITTOS,060,,60,,,,,,,,,1900-01-01 11:10:00,,1900-01-01 10:30:00,,3447
1,ΑΚΑΔΗΜΙΑ - ΛΥΚΑΒΗΤΤΟΣ (ΚΥΚΛΙΚΗ),AKADIMIA - LYKAVITTOS,060,,60,,,,,,,,,1900-01-01 11:50:00,,1900-01-01 11:10:00,,3447
1,ΑΚΑΔΗΜΙΑ - ΛΥΚΑΒΗΤΤΟΣ (ΚΥΚΛΙΚΗ),AKADIMIA - LYKAVITTOS,060,,60,,,,,,,,,1900-01-01 12:35:00,,1900-01-01 11:50:00,,3447
1,ΑΚΑΔΗΜΙΑ - ΛΥΚΑΒΗΤΤΟΣ (ΚΥΚΛΙΚΗ),AKADIMIA - LYKAVITTOS,060,,60,,,,,,,,,1900-01-01 13:20:00,,1900-01-01 12:35:00,,3447
1,ΑΚΑΔΗΜΙΑ - ΛΥΚΑΒΗΤΤΟΣ (ΚΥΚΛΙΚΗ),AKADIMIA - LYKAVITTOS,060,,60,,,,,,,,,1900-01-01 14:05:00,,1900-01-01 13:20:00,,3447
1,ΑΚΑΔΗΜΙΑ - ΛΥΚΑΒΗΤΤΟΣ (ΚΥΚΛΙΚΗ),AKADIMIA - LYKAVITTOS,060,,60,,,,,,,,,1900-01-01 14:50:00,,1900-01-01 14:05:00,,3447
1,ΑΚΑΔΗΜΙΑ - ΛΥΚΑΒΗΤΤΟΣ (ΚΥΚΛΙΚΗ),AKADIMIA - LYKAVITTOS,060,,60,,,,,,,,,1900-01-01 15:35:00,,1900-01-01 14:50:00,,3447
1,ΑΚΑΔΗΜΙΑ - ΛΥΚΑΒΗΤΤΟΣ (ΚΥΚΛΙΚΗ),AKADIMIA - LYKAVITTOS,060,,60,,,,,,,,,1900-01-01 16:20:00,,1900-01-01 15:35:00,,3447
1,ΑΚΑΔΗΜΙΑ - ΛΥΚΑΒΗΤΤΟΣ (ΚΥΚΛΙΚΗ),AKADIMIA - LYKAVITTOS,060,,60,,,,,,,,,1900-01-01 17:05:00,,1900-01-01 16:20:00,,3447
1,ΑΚΑΔΗΜΙΑ - ΛΥΚΑΒΗΤΤΟΣ (ΚΥΚΛΙΚΗ),AKADIMIA - LYKAVITTOS,060,,60,,,,,,,,,1900-01-01 17:50:00,,1900-01-01 17:05:00,,3447
1,ΑΚΑΔΗΜΙΑ - ΛΥΚΑΒΗΤΤΟΣ (ΚΥΚΛΙΚΗ),AKADIMIA - LYKAVITTOS,060,,60,,,,,,,,,1900-01-01 18:40:00,,1900-01-01 17:55:00,,3447
1,ΑΚΑΔΗΜΙΑ - ΛΥΚΑΒΗΤΤΟΣ (ΚΥΚΛΙΚΗ),AKADIMIA - LYKAVITTOS,060,,60,,,,,,,,,1900-01-01 19:30:00,,1900-01-01 18:45:00,,3447
1,ΑΚΑΔΗΜΙΑ - ΛΥΚΑΒΗΤΤΟΣ (ΚΥΚΛΙΚΗ),AKADIMIA - LYKAVITTOS,060,,60,,,,,,,,,1900-01-01 20:35:00,,1900-01-01 19:50:00,,3447
1,ΑΚΑΔΗΜΙΑ - ΛΥΚΑΒΗΤΤΟΣ (ΚΥΚΛΙΚΗ),AKADIMIA - LYKAVITTOS,060,,60,,,,,,,,,1900-01-01 21:35:00,,1900-01-01 20:50:00,,3447
1,ΑΚΑΔΗΜΙΑ - ΛΥΚΑΒΗΤΤΟΣ (ΚΥΚΛΙΚΗ),AKADIMIA - LYKAVITTOS,060,,60,,,,,,,,,1900-01-01 22:30:00,,1900-01-01 21:50:00,,3447
